date,region_id,disease_code,disease_name,case_count,severity_avg,outbreak_occurred
2020-01-01,1,A90,Dengue Fever,22,2.58,0
2020-01-01,1,U07.1,COVID-19,29,2.36,0
2020-01-01,1,A09,Gastroenteritis,16,1.8,0
2020-01-01,1,A39.9,Meningococcal Infection,283,3.01,1
2020-01-01,1,I10,Hypertension,25,2.06,0
2020-01-01,2,A90,Dengue Fever,22,2.21,0
2020-01-01,2,B05,Measles,42,2.91,0
2020-01-01,2,J18.9,Pneumonia,62,2.83,0
2020-01-01,2,A39.9,Meningococcal Infection,29,2.42,0
2020-01-01,2,K29.7,Gastritis,16,2.97,0
2020-01-01,3,J10.1,Influenza,47,2.02,0
2020-01-01,3,A39.9,Meningococcal Infection,19,2.22,0
2020-01-01,3,I10,Hypertension,14,2.57,0
2020-01-01,3,K29.7,Gastritis,11,2.06,0
2020-01-01,4,B50.0,Plasmodium Falciparum Malaria,11,2.47,0
2020-01-01,4,J10.1,Influenza,74,2.08,0
2020-01-01,4,J18.9,Pneumonia,60,2.09,0
2020-01-01,4,B16,Hepatitis B,5,2.93,0
2020-01-01,4,A39.9,Meningococcal Infection,15,2.53,0
2020-01-01,4,E11,Type 2 Diabetes,22,2.23,0
2020-01-01,4,I10,Hypertension,150,3.32,1
2020-01-01,4,K29.7,Gastritis,10,2.18,0
2020-01-01,4,J45.9,Asthma,49,1.91,0
2020-01-01,5,B50.0,Plasmodium Falciparum Malaria,13,2.16,0
2020-01-01,5,A00.9,Cholera,7,1.61,0
2020-01-01,5,B16,Hepatitis B,4,2.57,0
2020-01-01,5,E11,Type 2 Diabetes,17,2.56,0
2020-01-01,5,K29.7,Gastritis,16,2.06,0
2020-01-01,6,B50.0,Plasmodium Falciparum Malaria,82,3.8,1
2020-01-01,6,B05,Measles,33,2.12,0
2020-01-01,6,J18.9,Pneumonia,26,1.88,0
2020-01-01,6,E11,Type 2 Diabetes,25,1.53,0
2020-01-01,7,A00.9,Cholera,9,2.03,0
2020-01-01,7,J10.1,Influenza,52,2.63,0
2020-01-01,7,B05,Measles,24,2.64,0
2020-01-01,7,J18.9,Pneumonia,62,2.25,0
2020-01-01,7,A37.9,Whooping Cough,17,1.65,0
2020-01-01,7,A39.9,Meningococcal Infection,11,1.62,0
2020-01-01,8,U07.1,COVID-19,217,2.95,1
2020-01-01,8,B05,Measles,33,1.61,0
2020-01-01,8,A37.9,Whooping Cough,18,2.82,0
2020-01-01,8,K29.7,Gastritis,10,2.6,0
2020-01-01,8,J45.9,Asthma,58,2.9,0
2020-01-01,9,E11,Type 2 Diabetes,15,2.46,0
2020-01-01,9,K29.7,Gastritis,10,2.5,0
2020-01-01,10,A09,Gastroenteritis,16,1.7,0
2020-01-01,10,J45.9,Asthma,48,2.49,0
2020-01-01,11,A90,Dengue Fever,12,2.9,0
2020-01-01,11,B50.0,Plasmodium Falciparum Malaria,6,2.08,0
2020-01-01,11,A37.9,Whooping Cough,16,1.62,0
2020-01-01,11,B16,Hepatitis B,4,2.55,0
2020-01-01,12,A90,Dengue Fever,22,2.19,0
2020-01-01,12,J10.1,Influenza,102,2.51,0
2020-01-01,12,A09,Gastroenteritis,17,1.67,0
2020-01-01,12,B16,Hepatitis B,6,1.94,0
2020-01-01,12,I10,Hypertension,23,1.69,0
2020-01-01,12,J45.9,Asthma,65,1.91,0
2020-01-01,13,A90,Dengue Fever,23,1.57,0
