date,region_id,temperature_celsius,humidity_percent,rainfall_mm,aqi,pm25,pm10,water_quality_index
2020-01-01,1,21.9,59,31.9,149,74,104,9.9
2020-01-01,2,19.6,38,46.0,111,55,77,9.4
2020-01-01,3,15.0,56,57.1,150,75,105,8.7
2020-01-01,4,22.7,78,33.6,154,77,107,9.2
2020-01-01,5,20.0,63,0.0,145,72,101,10.2
2020-01-01,6,16.9,57,87.4,123,61,86,9.9
2020-01-01,7,20.6,40,34.4,122,61,85,8.5
2020-01-01,8,19.2,75,93.7,158,79,110,10.3
2020-01-01,9,18.8,62,2.2,131,65,91,9.6
2020-01-01,10,18.4,60,37.3,142,71,99,9.4
2020-01-01,11,19.4,41,23.3,141,70,98,10.0
2020-01-01,12,17.8,60,0.0,114,57,79,8.5
2020-01-01,13,10.4,55,21.4,268,134,187,9.1
2020-01-01,14,8.2,61,0.0,299,149,209,9.4
2020-01-01,15,14.4,43,0.0,263,131,184,9.2
2020-01-01,16,10.9,76,22.0,273,136,191,9.6
2020-01-01,17,14.6,67,47.0,244,122,170,9.3
2020-01-01,18,13.1,55,22.2,313,156,219,8.6
2020-01-01,19,14.5,66,76.9,244,122,170,9.2
2020-01-01,20,10.2,76,0.0,195,97,136,9.7
2020-01-01,21,14.6,68,65.7,309,154,216,9.1
2020-01-01,22,11.7,36,0.0,266,133,186,9.7
2020-01-01,23,24.2,55,49.9,158,79,110,8.7
2020-01-01,24,26.4,59,59.4,102,51,71,9.9
2020-01-01,25,23.4,83,77.4,150,75,105,9.1
2020-01-01,26,27.7,53,24.5,124,62,86,10.5
2020-01-01,27,31.8,44,0.0,153,76,107,10.1
2020-01-01,28,23.3,68,28.9,124,62,86,9.0
2020-01-01,29,25.3,50,42.3,128,64,89,8.9
2020-01-01,30,24.6,58,31.6,124,62,86,8.9
2020-01-01,31,26.6,59,42.7,145,72,101,8.8
2020-01-01,32,27.3,30,26.4,155,77,108,10.2
2020-01-01,33,19.4,61,17.5,154,77,107,10.4
2020-01-01,34,15.5,68,32.8,112,56,78,9.0
2020-01-01,35,24.9,41,26.1,157,78,109,9.4
2020-01-01,36,15.9,62,19.4,134,67,93,10.3
2020-01-01,37,22.0,58,17.9,149,74,104,9.4
2020-01-01,38,20.5,56,40.1,125,62,87,9.6
2020-01-01,39,26.2,71,0.0,108,54,75,8.5
2020-01-01,40,16.0,54,7.7,154,77,107,8.9
2020-01-01,41,18.4,55,5.0,136,68,95,8.9
2020-01-01,42,21.0,56,32.3,114,57,79,10.0
2020-01-01,43,14.7,60,13.5,104,52,72,10.4
2020-01-01,44,17.2,56,21.4,158,79,110,7.9
2020-01-01,45,9.6,46,46.0,327,163,228,8.7
2020-01-01,46,11.4,80,41.7,279,139,195,8.7
2020-01-01,47,6.7,71,66.3,214,107,149,8.9
2020-01-01,48,8.6,71,30.5,235,117,164,7.5
2020-01-01,49,13.4,54,0.0,271,135,189,9.2
2020-01-01,50,13.8,68,17.0,213,106,149,8.9
2020-01-01,51,13.4,30,7.4,266,133,186,10.3
2020-01-01,52,16.3,57,38.9,243,121,170,9.7
2020-01-01,53,18.0,45,32.7,292,146,204,9.2
2020-01-01,54,13.5,50,31.3,285,142,199,9.0
2020-01-01,55,13.6,57,52.5,269,134,188,9.2
2020-01-01,56,13.4,48,5.5,112,56,78,8.5
2020-01-01,57,23.1,62,21.9,142,71,99,9.8
2020-01-01,58,20.0,62,0.0,147,73,102,9.2
2020-01-01,59,19.3,44,21.9,120,60,84,10.0
2020-01-01,60,14.8,52,36.7,104,52,72,10.4
2020-01-01,61,17.4,68,8.6,145,72,101,8.7
2020-01-01,62,23.4,77,54.6,153,76,107,9.9
2020-01-01,63,15.0,53,0.0,130,65,91,8.6
2020-01-01,64,13.8,72,55.4,113,56,79,8.7
2020-01-01,65,12.0,52,10.8,153,76,107,9.8
2020-01-01,66,17.4,66,22.8,152,76,106,9.1
2020-01-01,67,18.8,62,60.8,122,61,85,8.8
2020-01-01,68,14.0,42,47.6,142,71,99,8.8
2020-01-01,69,17.2,59,84.1,130,65,91,8.7
2020-01-01,70,11.1,58,22.2,189,94,132,9.7
2020-01-01,71,7.1,58,63.8,261,130,182,8.7
2020-01-01,72,6.5,56,41.4,238,119,166,9.7
2020-01-01,73,17.8,62,18.6,191,95,133,10.2
2020-01-01,74,10.3,62,7.7,271,135,189,8.8
2020-01-01,75,10.8,65,10.6,278,139,194,9.7
2020-01-01,76,13.2,42,0.0,306,153,214,9.0
2020-01-01,77,20.7,82,41.1,116,58,81,9.9
2020-01-01,78,19.7,59,12.8,150,75,105,9.3
2020-01-01,79,23.1,47,49.1,146,73,102,9.4
2020-01-01,80,18.4,71,48.5,118,59,82,9.1
2020-01-01,81,23.8,42,0.0,104,52,72,10.2
2020-01-01,82,22.1,57,76.7,133,66,93,10.2
2020-01-01,83,18.8,57,0.0,109,54,76,8.8
2020-01-01,84,17.1,56,6.1,123,61,86,8.5
2020-01-01,85,20.3,59,11.7,144,72,100,6.9
2020-01-01,86,17.7,75,43.6,152,76,106,7.8
2020-01-01,87,15.1,61,1.8,136,68,95,8.1
2020-01-01,88,21.8,62,18.0,155,77,108,7.1
2020-01-01,89,19.3,52,0.0,118,59,82,8.6
