region_id,date,disease_code,outbreak_occurred,outbreak_severity,days_until_outbreak,contributing_factors
1,2020-01-01,A90,0,none,9,none
1,2020-01-01,U07.1,0,none,21,none
1,2020-01-01,A09,0,none,9,none
1,2020-01-01,A39.9,1,high,0,"environmental,seasonal"
1,2020-01-01,I10,0,none,19,none
2,2020-01-01,A90,0,none,20,none
2,2020-01-01,B05,0,none,13,none
2,2020-01-01,J18.9,0,none,10,none
2,2020-01-01,A39.9,0,none,18,none
2,2020-01-01,K29.7,0,none,20,none
3,2020-01-01,J10.1,0,none,12,none
3,2020-01-01,A39.9,0,none,24,none
3,2020-01-01,I10,0,none,12,none
3,2020-01-01,K29.7,0,none,12,none
4,2020-01-01,B50.0,0,none,24,none
4,2020-01-01,J10.1,0,none,7,none
4,2020-01-01,J18.9,0,none,28,none
4,2020-01-01,B16,0,none,22,none
4,2020-01-01,A39.9,0,none,18,none
4,2020-01-01,E11,0,none,21,none
4,2020-01-01,I10,1,high,0,"environmental,seasonal"
4,2020-01-01,K29.7,0,none,17,none
4,2020-01-01,J45.9,0,none,8,none
5,2020-01-01,B50.0,0,none,24,none
5,2020-01-01,A00.9,0,none,12,none
5,2020-01-01,B16,0,none,7,none
5,2020-01-01,E11,0,none,11,none
5,2020-01-01,K29.7,0,none,8,none
6,2020-01-01,B50.0,1,high,0,"environmental,seasonal"
6,2020-01-01,B05,0,none,13,none
6,2020-01-01,J18.9,0,none,20,none
6,2020-01-01,E11,0,none,20,none
7,2020-01-01,A00.9,0,none,17,none
7,2020-01-01,J10.1,0,none,23,none
7,2020-01-01,B05,0,none,24,none
7,2020-01-01,J18.9,0,none,17,none
7,2020-01-01,A37.9,0,none,8,none
7,2020-01-01,A39.9,0,none,15,none
8,2020-01-01,U07.1,1,high,0,"environmental,seasonal"
8,2020-01-01,B05,0,none,22,none
8,2020-01-01,A37.9,0,none,12,none
8,2020-01-01,K29.7,0,none,18,none
8,2020-01-01,J45.9,0,none,7,none
9,2020-01-01,E11,0,none,14,none
9,2020-01-01,K29.7,0,none,25,none
10,2020-01-01,A09,0,none,26,none
10,2020-01-01,J45.9,0,none,17,none
11,2020-01-01,A90,0,none,21,none
11,2020-01-01,B50.0,0,none,14,none
11,2020-01-01,A37.9,0,none,7,none
11,2020-01-01,B16,0,none,14,none
12,2020-01-01,A90,0,none,14,none
12,2020-01-01,J10.1,0,none,28,none
12,2020-01-01,A09,0,none,24,none
12,2020-01-01,B16,0,none,14,none
12,2020-01-01,I10,0,none,18,none
12,2020-01-01,J45.9,0,none,20,none
13,2020-01-01,A90,0,none,18,none
13,2020-01-01,B50.0,0,none,29,none
13,2020-01-01,A00.9,0,none,17,none
13,2020-01-01,U07.1,0,none,26,none
13,2020-01-01,B05,0,none,11,none
13,2020-01-01,J18.9,0,none,27,none
13,2020-01-01,A39.9,0,none,12,none
13,2020-01-01,K29.7,0,none,10,none
13,2020-01-01,J45.9,0,none,15,none
14,2020-01-01,A90,0,none,24,none
14,2020-01-01,B50.0,0,none,22,none
14,2020-01-01,A39.9,0,none,26,none
15,2020-01-01,B50.0,0,none,12,none
15,2020-01-01,J18.9,0,none,13,none
15,2020-01-01,J45.9,0,none,9,none
16,2020-01-01,J10.1,0,none,15,none
16,2020-01-01,B05,0,none,9,none
16,2020-01-01,A37.9,0,none,16,none
16,2020-01-01,A39.9,0,none,11,none
16,2020-01-01,I10,0,none,23,none
17,2020-01-01,A90,0,none,12,none
17,2020-01-01,B50.0,0,none,19,none
17,2020-01-01,A00.9,0,none,17,none
17,2020-01-01,J10.1,0,none,20,none
17,2020-01-01,B05,0,none,7,none
17,2020-01-01,J18.9,0,none,24,none
17,2020-01-01,A37.9,0,none,19,none
17,2020-01-01,E11,0,none,10,none
17,2020-01-01,K29.7,0,none,17,none
18,2020-01-01,A90,0,none,16,none
18,2020-01-01,J10.1,0,none,22,none
18,2020-01-01,J18.9,0,none,7,none
18,2020-01-01,A37.9,0,none,15,none
18,2020-01-01,A39.9,0,none,16,none
18,2020-01-01,I10,0,none,15,none
19,2020-01-01,B50.0,0,none,27,none
19,2020-01-01,B16,0,none,23,none
19,2020-01-01,I10,0,none,19,none
19,2020-01-01,J45.9,1,high,0,"environmental,seasonal"
20,2020-01-01,A90,0,none,9,none
20,2020-01-01,J10.1,0,none,20,none
20,2020-01-01,J18.9,0,none,26,none
20,2020-01-01,J45.9,0,none,22,none
21,2020-01-01,B05,0,none,14,none
21,2020-01-01,J18.9,0,none,14,none
21,2020-01-01,A37.9,0,none,18,none
21,2020-01-01,B16,0,none,23,none
22,2020-01-01,A00.9,1,high,0,"environmental,seasonal"
22,2020-01-01,B05,0,none,29,none
22,2020-01-01,A37.9,0,none,20,none
22,2020-01-01,I10,0,none,8,none
22,2020-01-01,K29.7,1,high,0,"environmental,seasonal"
23,2020-01-01,A00.9,0,none,15,none
23,2020-01-01,J10.1,0,none,10,none
23,2020-01-01,U07.1,0,none,16,none
23,2020-01-01,A09,0,none,27,none
23,2020-01-01,A37.9,0,none,9,none
23,2020-01-01,K29.7,0,none,17,none
24,2020-01-01,B50.0,1,high,0,"environmental,seasonal"
24,2020-01-01,J10.1,0,none,28,none
24,2020-01-01,U07.1,0,none,9,none
24,2020-01-01,B16,0,none,18,none
24,2020-01-01,E11,0,none,7,none
24,2020-01-01,J45.9,0,none,9,none
25,2020-01-01,U07.1,0,none,26,none
25,2020-01-01,A09,0,none,16,none
25,2020-01-01,B16,0,none,22,none
25,2020-01-01,A39.9,0,none,26,none
25,2020-01-01,J45.9,0,none,12,none
26,2020-01-01,U07.1,0,none,20,none
26,2020-01-01,B05,0,none,28,none
26,2020-01-01,A09,0,none,20,none
26,2020-01-01,B16,1,high,0,"environmental,seasonal"
26,2020-01-01,A39.9,0,none,8,none
27,2020-01-01,A90,0,none,12,none
27,2020-01-01,B50.0,0,none,21,none
27,2020-01-01,J10.1,0,none,20,none
27,2020-01-01,U07.1,0,none,26,none
27,2020-01-01,A09,0,none,12,none
27,2020-01-01,A37.9,1,high,0,"environmental,seasonal"
27,2020-01-01,B16,0,none,14,none
27,2020-01-01,E11,0,none,17,none
27,2020-01-01,I10,0,none,13,none
28,2020-01-01,B50.0,0,none,25,none
28,2020-01-01,A00.9,0,none,25,none
28,2020-01-01,B05,0,none,19,none
28,2020-01-01,B16,0,none,23,none
28,2020-01-01,A39.9,0,none,29,none
28,2020-01-01,K29.7,1,high,0,"environmental,seasonal"
29,2020-01-01,A90,0,none,10,none
29,2020-01-01,B50.0,0,none,16,none
29,2020-01-01,A37.9,0,none,29,none
29,2020-01-01,I10,0,none,25,none
30,2020-01-01,J18.9,0,none,24,none
30,2020-01-01,A09,0,none,25,none
30,2020-01-01,A37.9,0,none,13,none
30,2020-01-01,J45.9,0,none,26,none
31,2020-01-01,B50.0,1,high,0,"environmental,seasonal"
31,2020-01-01,A00.9,0,none,10,none
31,2020-01-01,A37.9,1,high,0,"environmental,seasonal"
31,2020-01-01,I10,0,none,20,none
32,2020-01-01,B50.0,0,none,26,none
32,2020-01-01,B05,0,none,8,none
32,2020-01-01,J18.9,0,none,19,none
