date,region_id,disease_code,disease_name,case_count,severity_avg,population_normalized_rate
2024-10-01,1,A90,Dengue Fever,7,2.72,2.23
2024-10-01,1,A01,Typhoid Fever,5,2.41,1.59
2024-10-01,1,J10,Influenza,13,2.41,4.14
2024-10-01,2,A90,Dengue Fever,0,2.39,0.0
2024-10-01,2,U07.1,COVID-19,13,3.17,11.69
2024-10-01,2,J18,Pneumonia,7,2.45,6.29
2024-10-01,3,A15,Tuberculosis,0,2.68,0.0
2024-10-01,3,A01,Typhoid Fever,6,2.25,0.92
2024-10-01,3,J10,Influenza,7,3.26,1.07
2024-10-01,4,B50,Malaria,0,3.1,0.0
2024-10-01,4,A15,Tuberculosis,0,2.19,0.0
2024-10-01,4,J10,Influenza,8,2.4,1.53
2024-10-01,5,A01,Typhoid Fever,0,1.82,0.0
2024-10-01,5,A00,Cholera,0,2.98,0.0
2024-10-01,5,B50,Malaria,0,3.19,0.0
2024-10-01,6,J10,Influenza,13,2.81,2.73
2024-10-01,6,B50,Malaria,0,3.06,0.0
2024-10-01,6,A01,Typhoid Fever,0,2.78,0.0
2024-10-01,7,A90,Dengue Fever,7,3.28,2.49
2024-10-01,7,A01,Typhoid Fever,0,1.95,0.0
2024-10-01,7,A00,Cholera,0,1.81,0.0
2024-10-01,8,A00,Cholera,0,2.42,0.0
2024-10-01,8,J10,Influenza,14,2.11,7.53
2024-10-01,8,A90,Dengue Fever,8,2.12,4.3
2024-10-01,9,A09,Gastroenteritis,9,2.97,2.5
2024-10-01,9,A01,Typhoid Fever,7,3.18,1.94
2024-10-01,9,J10,Influenza,6,2.51,1.67
2024-10-01,10,B15,Hepatitis A,0,3.36,0.0
2024-10-01,10,A90,Dengue Fever,0,2.03,0.0
2024-10-01,10,B50,Malaria,5,2.72,0.89
2024-10-01,11,A00,Cholera,0,2.1,0.0
2024-10-01,11,B50,Malaria,0,3.01,0.0
2024-10-01,11,B15,Hepatitis A,0,2.06,0.0
2024-10-01,12,J10,Influenza,14,2.82,2.32
2024-10-01,12,U07.1,COVID-19,8,2.48,1.33
2024-10-01,12,J18,Pneumonia,6,2.98,0.99
2024-10-01,13,B15,Hepatitis A,0,3.01,0.0
2024-10-01,13,A90,Dengue Fever,0,1.9,0.0
2024-10-01,13,U07.1,COVID-19,12,2.35,3.38
2024-10-01,14,A90,Dengue Fever,7,3.02,3.11
2024-10-01,14,J18,Pneumonia,9,2.51,4.0
2024-10-01,14,B50,Malaria,0,2.31,0.0
2024-10-01,15,A15,Tuberculosis,0,2.52,0.0
2024-10-01,15,B50,Malaria,0,2.39,0.0
2024-10-01,15,U07.1,COVID-19,9,3.02,1.72
2024-10-01,16,A15,Tuberculosis,0,2.74,0.0
2024-10-01,16,B15,Hepatitis A,0,2.91,0.0
2024-10-01,16,A00,Cholera,0,2.54,0.0
2024-10-01,17,A09,Gastroenteritis,12,3.19,2.75
2024-10-01,17,A15,Tuberculosis,5,2.52,1.14
2024-10-01,17,J18,Pneumonia,5,2.98,1.14
2024-10-01,18,J18,Pneumonia,5,3.06,1.4
2024-10-01,18,J10,Influenza,12,3.38,3.37
2024-10-01,18,A90,Dengue Fever,7,2.04,1.97
2024-10-01,19,A15,Tuberculosis,0,2.04,0.0
2024-10-01,19,A90,Dengue Fever,0,2.15,0.0
2024-10-01,19,J18,Pneumonia,0,2.43,0.0
2024-10-01,20,A01,Typhoid Fever,0,1.83,0.0
2024-10-01,20,U07.1,COVID-19,11,2.05,1.73
2024-10-01,20,A15,Tuberculosis,6,2.24,0.94
2024-10-01,21,A00,Cholera,0,2.5,0.0
2024-10-01,21,A09,Gastroenteritis,7,2.58,1.74
2024-10-01,21,B15,Hepatitis A,0,1.9,0.0
2024-10-01,22,B50,Malaria,0,2.77,0.0
2024-10-01,22,J10,Influenza,8,2.18,5.24
2024-10-01,22,A15,Tuberculosis,5,3.09,3.28
2024-10-01,23,J18,Pneumonia,6,2.81,0.95
2024-10-01,23,A09,Gastroenteritis,10,2.81,1.58
2024-10-01,23,A90,Dengue Fever,7,2.79,1.11
2024-10-01,24,J10,Influenza,14,2.25,3.44
2024-10-01,24,B50,Malaria,0,3.09,0.0
2024-10-01,24,A01,Typhoid Fever,0,2.39,0.0
2024-10-01,25,A09,Gastroenteritis,12,2.39,8.16
2024-10-01,25,B50,Malaria,0,2.14,0.0
2024-10-01,25,A90,Dengue Fever,0,2.9,0.0
2024-10-01,26,A15,Tuberculosis,6,2.35,1.87
2024-10-01,26,A09,Gastroenteritis,10,2.92,3.12
2024-10-01,26,U07.1,COVID-19,7,3.34,2.19
2024-10-01,27,J10,Influenza,9,2.58,1.53
2024-10-01,27,A00,Cholera,0,3.22,0.0
2024-10-01,27,B15,Hepatitis A,0,2.62,0.0
2024-10-01,28,B50,Malaria,5,2.31,0.87
2024-10-01,28,J18,Pneumonia,8,2.59,1.39
2024-10-01,28,A01,Typhoid Fever,7,3.24,1.22
2024-10-01,29,U07.1,COVID-19,11,3.04,8.04
2024-10-01,29,B50,Malaria,0,2.94,0.0
2024-10-01,29,A09,Gastroenteritis,10,3.16,7.31
2024-10-01,30,A90,Dengue Fever,0,2.81,0.0
2024-10-01,30,A09,Gastroenteritis,10,2.37,3.56
2024-10-01,30,A00,Cholera,0,2.7,0.0
2024-10-01,31,U07.1,COVID-19,10,2.77,6.29
2024-10-01,31,A15,Tuberculosis,6,2.12,3.77
2024-10-01,31,A09,Gastroenteritis,8,3.33,5.03
2024-10-01,32,J10,Influenza,6,2.98,1.83
2024-10-01,32,B50,Malaria,0,2.64,0.0
2024-10-01,32,U07.1,COVID-19,13,2.25,3.97
2024-10-01,33,J18,Pneumonia,6,2.22,7.29
2024-10-01,33,J10,Influenza,8,2.27,9.73
2024-10-01,33,A90,Dengue Fever,0,2.84,0.0
2024-10-01,34,J18,Pneumonia,7,3.04,1.06
2024-10-01,34,B50,Malaria,0,2.51,0.0
2024-10-01,34,A15,Tuberculosis,5,2.69,0.75
2024-10-01,35,J10,Influenza,7,3.3,1.08
2024-10-01,35,A09,Gastroenteritis,12,2.24,1.85
2024-10-01,35,A15,Tuberculosis,6,2.53,0.93
2024-10-01,36,A01,Typhoid Fever,0,2.0,0.0
2024-10-01,36,J10,Influenza,11,2.68,1.73
2024-10-01,36,A15,Tuberculosis,0,2.03,0.0
2024-10-01,37,J18,Pneumonia,9,2.49,2.76
2024-10-01,37,B15,Hepatitis A,0,2.43,0.0
2024-10-01,37,A90,Dengue Fever,0,2.78,0.0
2024-10-01,38,A90,Dengue Fever,6,3.01,0.87
2024-10-01,38,U07.1,COVID-19,5,3.21,0.72
2024-10-01,38,A15,Tuberculosis,0,2.96,0.0
2024-10-01,39,A01,Typhoid Fever,0,2.02,0.0
2024-10-01,39,A09,Gastroenteritis,6,2.64,1.67
2024-10-01,39,B50,Malaria,0,1.95,0.0
2024-10-01,40,A15,Tuberculosis,0,2.46,0.0
2024-10-01,40,J10,Influenza,7,2.59,1.04
2024-10-01,40,B15,Hepatitis A,0,1.9,0.0
2024-10-01,41,J18,Pneumonia,8,3.12,5.26
2024-10-01,41,J10,Influenza,9,2.52,5.92
2024-10-01,41,A01,Typhoid Fever,0,3.02,0.0
2024-10-01,42,U07.1,COVID-19,5,2.83,0.79
2024-10-01,42,A00,Cholera,0,1.88,0.0
2024-10-01,42,B15,Hepatitis A,0,2.16,0.0
2024-10-01,43,A90,Dengue Fever,8,2.17,3.98
2024-10-01,43,J10,Influenza,8,3.33,3.98
2024-10-01,43,A00,Cholera,0,2.6,0.0
2024-10-01,44,A15,Tuberculosis,0,2.62,0.0
2024-10-01,44,J18,Pneumonia,6,2.59,1.68
2024-10-01,44,B15,Hepatitis A,0,2.94,0.0
2024-10-01,45,J18,Pneumonia,0,2.12,0.0
2024-10-01,45,B15,Hepatitis A,0,2.13,0.0
2024-10-01,45,B50,Malaria,5,2.59,1.35
2024-10-01,46,A15,Tuberculosis,6,3.24,1.14
2024-10-01,46,B50,Malaria,0,2.44,0.0
2024-10-01,46,J10,Influenza,8,2.66,1.51
2024-10-01,47,J10,Influenza,14,2.4,2.03
2024-10-01,47,U07.1,COVID-19,11,2.06,1.59
2024-10-01,47,B15,Hepatitis A,0,3.01,0.0
2024-10-01,48,U07.1,COVID-19,10,3.24,8.21
2024-10-01,48,A15,Tuberculosis,5,1.99,4.1
2024-10-01,48,A00,Cholera,0,2.52,0.0
2024-10-01,49,A09,Gastroenteritis,8,2.1,1.58
2024-10-01,49,B15,Hepatitis A,0,2.42,0.0
2024-10-01,49,J18,Pneumonia,0,2.99,0.0
2024-10-01,50,A00,Cholera,0,3.22,0.0
2024-10-01,50,J10,Influenza,10,2.38,3.76
2024-10-01,50,U07.1,COVID-19,5,2.84,1.88
2024-10-01,51,A00,Cholera,0,2.3,0.0
2024-10-01,51,U07.1,COVID-19,8,3.13,2.35
2024-10-01,51,J10,Influenza,11,2.13,3.23
2024-10-01,52,J18,Pneumonia,7,2.76,1.24
2024-10-01,52,A15,Tuberculosis,0,3.27,0.0
2024-10-01,52,A09,Gastroenteritis,12,2.7,2.13
2024-10-01,53,U07.1,COVID-19,14,1.97,9.16
2024-10-01,53,A00,Cholera,0,3.16,0.0
2024-10-01,53,B50,Malaria,5,1.88,3.27
2024-10-01,54,A90,Dengue Fever,0,2.51,0.0
2024-10-01,54,U07.1,COVID-19,14,3.34,2.18
2024-10-01,54,J10,Influenza,7,1.89,1.09
2024-10-01,55,A00,Cholera,0,1.92,0.0
2024-10-01,55,J10,Influenza,12,2.85,3.35
2024-10-01,55,J18,Pneumonia,6,3.03,1.67
2024-10-01,56,B50,Malaria,0,2.53,0.0
2024-10-01,56,U07.1,COVID-19,8,1.99,3.97
2024-10-01,56,A01,Typhoid Fever,0,3.21,0.0
2024-10-01,57,A09,Gastroenteritis,6,1.94,0.93
2024-10-01,57,A01,Typhoid Fever,0,2.53,0.0
2024-10-01,57,A90,Dengue Fever,6,2.91,0.93
2024-10-01,58,U07.1,COVID-19,14,2.57,3.42
2024-10-01,58,J10,Influenza,8,2.14,1.96
2024-10-01,58,A90,Dengue Fever,5,2.88,1.22
2024-10-01,59,A90,Dengue Fever,5,3.13,1.18
2024-10-01,59,J10,Influenza,12,2.08,2.84
2024-10-01,59,A09,Gastroenteritis,5,2.72,1.18
2024-10-01,60,A90,Dengue Fever,7,2.25,2.67
2024-10-01,60,B50,Malaria,0,2.12,0.0
2024-10-01,60,U07.1,COVID-19,9,1.84,3.43
2024-10-01,61,U07.1,COVID-19,12,3.1,1.74
2024-10-01,61,A00,Cholera,0,3.2,0.0
2024-10-01,61,B15,Hepatitis A,0,2.69,0.0
2024-10-01,62,A09,Gastroenteritis,9,2.38,3.49
2024-10-01,62,A00,Cholera,0,2.53,0.0
2024-10-01,62,A90,Dengue Fever,5,2.67,1.94
2024-10-01,63,A15,Tuberculosis,0,2.98,0.0
2024-10-01,63,J10,Influenza,11,2.45,3.37
2024-10-01,63,A01,Typhoid Fever,7,2.44,2.15
2024-10-01,64,A09,Gastroenteritis,7,3.1,1.21
2024-10-01,64,A15,Tuberculosis,5,2.88,0.86
2024-10-01,64,U07.1,COVID-19,11,2.38,1.9
2024-10-01,65,J18,Pneumonia,5,2.33,0.84
2024-10-01,65,B50,Malaria,0,2.83,0.0
2024-10-01,65,U07.1,COVID-19,12,3.01,2.01
2024-10-01,66,A01,Typhoid Fever,7,3.27,3.65
2024-10-01,66,A90,Dengue Fever,7,2.03,3.65
2024-10-01,66,A15,Tuberculosis,0,2.66,0.0
2024-10-01,67,A01,Typhoid Fever,6,1.93,2.9
2024-10-01,67,J10,Influenza,12,3.21,5.79
2024-10-01,67,A00,Cholera,0,2.63,0.0
2024-10-01,68,J10,Influenza,14,2.86,2.57
2024-10-01,68,A90,Dengue Fever,0,2.98,0.0
2024-10-01,68,U07.1,COVID-19,15,2.94,2.76
2024-10-01,69,A15,Tuberculosis,0,2.97,0.0
2024-10-01,69,A09,Gastroenteritis,10,2.68,1.73
2024-10-01,69,B50,Malaria,0,2.64,0.0
2024-10-01,70,J18,Pneumonia,9,2.45,2.72
2024-10-01,70,A00,Cholera,0,2.16,0.0
2024-10-01,70,A15,Tuberculosis,5,2.05,1.51
2024-10-01,71,A00,Cholera,0,2.03,0.0
2024-10-01,71,A90,Dengue Fever,0,2.91,0.0
2024-10-01,71,B50,Malaria,0,2.19,0.0
2024-10-01,72,J18,Pneumonia,8,2.82,1.58
2024-10-01,72,U07.1,COVID-19,8,1.84,1.58
2024-10-01,72,A00,Cholera,0,2.27,0.0
2024-10-01,73,A00,Cholera,0,2.21,0.0
2024-10-01,73,A01,Typhoid Fever,0,2.48,0.0
2024-10-01,73,B50,Malaria,0,2.86,0.0
2024-10-01,74,A90,Dengue Fever,5,2.4,1.11
2024-10-01,74,U07.1,COVID-19,9,2.49,2.01
2024-10-01,74,A15,Tuberculosis,6,3.27,1.34
2024-10-01,75,J10,Influenza,6,2.6,1.93
2024-10-01,75,A90,Dengue Fever,0,1.85,0.0
2024-10-01,75,A09,Gastroenteritis,12,3.18,3.86
2024-10-01,76,J18,Pneumonia,7,2.9,1.39
2024-10-01,76,B15,Hepatitis A,0,3.21,0.0
2024-10-01,76,B50,Malaria,0,3.39,0.0
2024-10-01,77,J18,Pneumonia,0,2.56,0.0
2024-10-01,77,A90,Dengue Fever,6,1.95,0.89
2024-10-01,77,A09,Gastroenteritis,8,2.96,1.19
2024-10-01,78,B50,Malaria,0,2.19,0.0
2024-10-01,78,A09,Gastroenteritis,12,1.85,3.4
2024-10-01,78,J18,Pneumonia,6,2.68,1.7
2024-10-01,79,A09,Gastroenteritis,6,1.82,1.15
2024-10-01,79,A00,Cholera,0,2.75,0.0
2024-10-01,79,J18,Pneumonia,9,3.05,1.72
2024-10-01,80,B15,Hepatitis A,0,2.09,0.0
2024-10-01,80,A09,Gastroenteritis,9,2.92,2.86
2024-10-01,80,B50,Malaria,0,3.08,0.0
2024-10-01,81,B15,Hepatitis A,0,1.99,0.0
2024-10-01,81,A90,Dengue Fever,6,2.59,2.5
2024-10-01,81,U07.1,COVID-19,12,2.27,5.0
2024-10-01,82,A01,Typhoid Fever,7,2.33,2.01
2024-10-01,82,A90,Dengue Fever,0,2.9,0.0
2024-10-01,82,U07.1,COVID-19,6,2.12,1.72
2024-10-01,83,A09,Gastroenteritis,11,3.04,2.71
2024-10-01,83,A00,Cholera,0,3.04,0.0
2024-10-01,83,A90,Dengue Fever,0,2.28,0.0
2024-10-01,84,A00,Cholera,0,2.94,0.0
2024-10-01,84,A15,Tuberculosis,0,1.96,0.0
2024-10-01,84,A09,Gastroenteritis,7,2.01,1.41
2024-10-01,85,J10,Influenza,13,2.39,6.28
2024-10-01,85,A90,Dengue Fever,7,2.49,3.38
2024-10-01,85,A09,Gastroenteritis,10,2.82,4.83
2024-10-01,86,B50,Malaria,0,2.25,0.0
2024-10-01,86,J18,Pneumonia,8,2.92,1.83
