region_id,region_name,region_type,parent_region_id,state,latitude,longitude,population,area_sq_km,hospital_count,sanitation_index
1,Region_1,ward,,Maharashtra,8.5002,76.4005,314053,9.2,8,7.7
2,Region_2,ward,,West Bengal,9.7388,78.7507,111244,7.8,12,7.0
3,Region_3,ward,,Maharashtra,19.2249,83.4563,651412,17.6,19,7.4
4,Region_4,ward,,Maharashtra,23.1761,74.5545,523143,15.2,9,5.9
5,Region_5,ward,,Karnataka,10.0442,78.0788,456417,30.4,13,8.2
6,Region_6,ward,,Tamil Nadu,18.7246,87.5699,476922,7.4,14,8.3
7,Region_7,ward,,West Bengal,25.709,77.7862,281629,26.1,6,7.6
8,Region_8,ward,,Karnataka,27.7044,85.6851,185907,16.4,19,7.5
9,Region_9,ward,,Karnataka,11.2531,77.6843,359946,26.1,7,7.4
10,Region_10,ward,,Delhi,18.6828,75.917,564714,16.4,12,7.7
11,Region_11,ward,,Maharashtra,12.581,72.5136,410776,17.0,7,5.8
12,Region_12,ward,,West Bengal,25.5274,77.0348,603481,16.9,19,5.6
13,Region_13,ward,,Delhi,12.9326,80.9819,355504,27.4,18,8.6
14,Region_14,ward,,Tamil Nadu,15.2399,87.9572,225051,20.3,7,8.0
15,Region_15,ward,,Maharashtra,11.0568,74.5597,522666,22.9,17,6.5
16,Region_16,ward,,Tamil Nadu,18.5823,87.5373,92038,25.4,8,7.7
17,Region_17,ward,,West Bengal,23.0176,84.2976,436699,8.3,18,5.6
18,Region_18,ward,,Maharashtra,27.0763,86.0136,356183,34.2,10,7.0
19,Region_19,ward,,Maharashtra,25.4104,76.7751,612323,23.3,9,6.5
20,Region_20,ward,,Delhi,18.7876,84.458,636116,32.6,15,7.0
21,Region_21,ward,,Maharashtra,26.582,86.0596,402451,12.2,12,8.5
22,Region_22,ward,,Maharashtra,9.7131,79.7758,152574,34.3,9,5.5
23,Region_23,ward,,Tamil Nadu,26.937,74.642,633306,31.2,18,8.9
24,Region_24,ward,,West Bengal,23.1053,83.0379,406858,17.0,16,6.8
25,Region_25,ward,,West Bengal,17.0297,75.9665,147136,15.1,12,7.4
26,Region_26,ward,,Maharashtra,9.4199,82.0976,320062,7.0,6,8.4
27,Region_27,ward,,Maharashtra,18.2831,76.4556,588993,11.4,9,7.9
28,Region_28,ward,,West Bengal,19.5242,75.888,575948,29.2,11,5.4
29,Region_29,ward,,Tamil Nadu,15.086,78.5776,136802,25.2,8,5.2
30,Region_30,ward,,Karnataka,24.0119,73.7483,280896,10.7,19,5.6
31,Region_31,ward,,Delhi,13.5709,75.9969,159046,18.3,8,5.2
32,Region_32,ward,,West Bengal,24.7206,87.5039,327861,10.0,20,6.9
33,Region_33,ward,,Tamil Nadu,26.0489,74.6342,82260,34.6,13,8.7
34,Region_34,ward,,Tamil Nadu,13.705,83.1455,662765,24.9,20,5.6
35,Region_35,ward,,Karnataka,12.354,72.9357,648532,6.8,15,5.2
36,Region_36,ward,,West Bengal,17.5358,86.7102,636926,9.7,7,8.4
37,Region_37,ward,,Maharashtra,19.9007,82.8034,326629,17.1,12,7.3
38,Region_38,ward,,Maharashtra,20.3876,78.7076,692024,22.0,15,8.7
39,Region_39,ward,,Delhi,21.3945,77.0269,358517,16.9,14,6.8
40,Region_40,ward,,Maharashtra,8.1863,81.9385,670341,34.9,7,7.2
