region_id,date,disease_code,outbreak_occurred,outbreak_severity,days_until_outbreak,contributing_factors
5686,2023-11-29,191585,0,low,19,none
1202,2023-09-25,40043,0,low,16,none
13051,2023-02-03,440060,0,low,7,none
24258,2023-10-20,A90,0,low,16,none
9893,2023-04-30,A90,0,low,18,high_temperature
13277,2023-09-07,A90,0,low,9,none
9693,2024-05-22,327189,0,low,20,high_temperature
374,2023-03-30,12369,0,low,11,none
22196,2024-07-04,747997,0,low,9,high_temperature
18245,2023-06-06,614956,0,low,8,high_temperature
4439,2024-01-11,149483,0,low,18,none
3734,2023-11-29,125763,0,low,14,none
859,2023-08-21,28582,0,low,7,none
3199,2023-07-14,A90,0,low,13,none
7301,2023-01-02,A90,0,low,18,none
10409,2023-05-05,A90,0,low,16,high_temperature
13509,2023-03-05,455810,0,low,13,none
15067,2024-09-13,A90,0,low,14,none
3255,2023-05-16,109494,0,low,14,high_temperature
7390,2024-02-14,249125,0,low,18,none
24717,2024-04-11,A90,0,low,9,heavy_rainfall
19947,2023-12-19,672081,0,low,14,none
1747,2024-04-12,A90,0,low,18,none
10597,2024-02-19,A90,0,low,14,none
10913,2023-08-13,A90,0,low,7,none
10296,2024-02-04,347549,0,low,15,none
4268,2023-08-30,A90,0,low,14,none
20240,2023-05-10,A90,0,low,11,high_temperature
13847,2024-11-16,A90,0,low,15,none
11936,2023-07-12,A90,0,low,7,none
6695,2024-10-29,225761,0,low,13,none
23808,2023-07-27,A90,0,low,17,none
193,2023-04-12,6433,0,low,11,high_temperature
2401,2024-06-03,80617,0,low,20,none
4236,2024-04-30,A90,0,low,7,heavy_rainfall
9026,2023-03-31,304567,0,low,18,none
10048,2023-02-27,A90,0,low,14,none
23048,2023-04-05,A90,0,low,17,none
2302,2024-06-10,77206,0,low,18,high_temperature
5071,2024-01-26,A90,0,low,15,heavy_rainfall
24717,2023-11-09,832304,0,low,15,none
17699,2024-04-10,596532,0,low,12,high_temperature
8379,2024-01-07,A90,0,low,17,none
11605,2024-12-24,391433,0,low,14,none
24813,2023-06-23,A90,0,low,11,high_temperature
11616,2024-08-02,391813,0,low,15,none
9070,2023-07-05,306122,0,low,14,none
12485,2023-02-01,A90,0,low,14,none
15096,2023-10-05,509136,0,low,11,none
1045,2023-12-06,A90,0,low,16,none
20323,2023-04-22,A90,0,low,10,high_temperature
11852,2023-12-31,A90,0,low,17,none
22030,2024-06-29,A90,0,low,18,high_temperature
18358,2024-05-18,618787,0,low,11,high_temperature
462,2023-12-30,A90,0,low,10,none
344,2023-03-06,11409,0,low,11,none
17008,2023-11-14,A90,0,low,14,none
20165,2024-01-19,A90,0,low,16,none
812,2024-05-25,26965,0,low,16,"high_temperature,heavy_rainfall"
10957,2024-12-05,369769,0,low,20,none
1465,2024-01-27,48966,0,low,13,none
4924,2024-09-15,165830,0,low,16,none
8039,2024-02-29,271099,0,low,13,none
23491,2023-07-19,791460,0,low,19,"high_temperature,heavy_rainfall"
1178,2023-05-29,A90,0,low,18,high_temperature
17653,2023-09-20,A90,0,low,12,none
17693,2024-12-16,A90,0,low,13,none
816,2024-11-06,A90,0,low,9,none
5681,2023-09-29,A90,0,low,19,poor_air_quality
17944,2024-10-21,A90,0,low,20,none
18610,2023-07-24,A90,0,low,12,heavy_rainfall
2571,2024-12-07,86345,0,low,17,poor_air_quality
3389,2023-12-04,A90,0,low,20,none
14050,2023-08-17,A90,0,low,15,none
1453,2023-04-07,48583,0,low,8,none
5761,2024-02-27,A90,0,low,11,none
5617,2023-11-28,A90,0,low,7,none
288,2024-08-02,A90,0,low,17,none
5096,2024-05-03,A90,0,low,8,high_temperature
13804,2024-01-19,465845,0,low,8,none
7424,2023-11-14,250285,0,low,12,none
3939,2024-10-08,132619,0,low,10,none
8067,2024-02-22,272011,0,low,10,none
4041,2023-09-25,136033,0,low,13,none
3570,2023-06-08,120173,0,low,20,none
15624,2023-08-14,526714,0,low,18,heavy_rainfall
18097,2023-09-11,A90,0,low,20,none
22661,2024-01-27,763574,0,low,13,none
22717,2024-04-24,765424,0,low,15,none
9327,2023-12-10,A90,0,low,9,none
5724,2023-01-29,A90,0,low,11,"heavy_rainfall,poor_air_quality"
2580,2023-07-09,A90,0,low,12,"high_temperature,heavy_rainfall"
4553,2023-10-23,A90,0,low,8,none
11641,2024-12-11,392680,0,low,12,none
19504,2024-05-30,A90,0,low,12,high_temperature
20315,2024-12-16,A90,0,low,14,none
2164,2024-04-17,72573,1,low,0,high_temperature
3893,2024-07-02,131106,0,low,12,none
5447,2024-11-30,183633,0,low,19,none
3294,2024-02-17,A90,0,low,17,none
8006,2024-10-13,269997,0,low,7,none
23839,2023-06-25,A90,0,low,14,high_temperature
10771,2023-12-04,A90,0,low,17,none
14089,2024-06-17,A90,0,low,20,high_temperature
2260,2023-10-13,A90,0,low,11,none
18733,2024-10-07,A90,0,low,8,none
9239,2023-10-25,A90,0,low,11,poor_air_quality
23945,2024-06-27,A90,0,low,8,high_temperature
22235,2023-04-08,749349,0,low,8,"high_temperature,poor_air_quality"
16871,2024-06-12,A90,0,low,19,high_temperature
17928,2023-04-18,A90,0,low,11,none
1826,2023-05-10,61215,0,low,9,high_temperature
10131,2024-08-29,A90,0,low,10,none
7631,2024-05-06,A90,0,low,7,high_temperature
87,2024-06-07,A90,0,low,11,high_temperature
16517,2024-08-16,556827,0,low,9,none
24937,2023-05-14,A90,0,low,20,high_temperature
