region_id,region_name,region_type,parent_city,state,latitude,longitude,population,area_sq_km,hospital_count,sanitation_index
1,Mumbai_Ward_1,ward,Mumbai,16,19.082764,72.879845,1351387,3.18,270,8.8
2,Mumbai_Ward_2,ward,Mumbai,16,19.104414,72.897959,1209598,3.55,242,7.3
3,Mumbai_Ward_3,ward,Mumbai,16,19.077669,72.844344,1050259,9.57,210,5.7
4,Mumbai_Ward_4,ward,Mumbai,16,19.05467,72.854364,1455201,3.8,292,6.2
5,Mumbai_Ward_5,ward,Mumbai,16,19.075274,72.872301,1193000,2.37,240,7.9
6,Mumbai_Ward_6,ward,Mumbai,16,19.07256,72.861456,1373579,5.36,276,4.7
7,Mumbai_Ward_7,ward,Mumbai,16,19.077203,72.900245,1141112,4.8,229,4.1
8,Mumbai_Ward_8,ward,Mumbai,16,19.079702,72.847349,1310315,2.04,264,5.9
9,Mumbai_Ward_9,ward,Mumbai,16,19.09345,72.901236,1162671,13.08,234,6.0
10,Mumbai_Ward_10,ward,Mumbai,16,19.069275,72.874402,1418911,9.93,286,5.2
11,Delhi_Ward_1,ward,Delhi,07,28.671409,77.247402,1268470,7.91,255,7.0
12,Delhi_Ward_2,ward,Delhi,07,28.653691,77.22551,1113580,13.71,223,3.5
13,Delhi_Ward_3,ward,Delhi,07,28.681508,77.221125,1014241,14.02,206,5.7
14,Delhi_Ward_4,ward,Delhi,07,28.679387,77.235001,1069326,2.54,214,7.5
15,Delhi_Ward_5,ward,Delhi,07,28.677425,77.225651,810468,4.11,162,7.0
16,Delhi_Ward_6,ward,Delhi,07,28.661009,77.228169,1127173,10.84,225,3.5
17,Delhi_Ward_7,ward,Delhi,07,28.651579,77.19802,985106,1.52,198,5.0
18,Delhi_Ward_8,ward,Delhi,07,28.648103,77.237521,1099625,14.8,220,4.7
19,Delhi_Ward_9,ward,Delhi,07,28.674806,77.246529,1190742,6.15,240,5.1
20,Delhi_Ward_10,ward,Delhi,07,28.632139,77.220164,1114451,10.49,223,5.7
21,Bengaluru_Ward_1,ward,Bengaluru,19,12.940927,77.595061,759301,10.67,153,7.2
22,Bengaluru_Ward_2,ward,Bengaluru,19,12.964175,77.57598,819241,10.24,166,7.3
23,Bengaluru_Ward_3,ward,Bengaluru,19,12.96545,77.589573,727210,5.89,149,8.3
24,Bengaluru_Ward_4,ward,Bengaluru,19,12.976466,77.610638,864402,10.69,174,4.7
25,Bengaluru_Ward_5,ward,Bengaluru,19,12.952446,77.609432,947977,10.09,192,5.3
26,Bengaluru_Ward_6,ward,Bengaluru,19,12.967032,77.578615,773980,14.62,156,5.3
27,Bengaluru_Ward_7,ward,Bengaluru,19,12.996128,77.604449,1081851,7.9,216,6.6
28,Bengaluru_Ward_8,ward,Bengaluru,19,12.95268,77.613234,853115,3.48,174,6.3
29,Bengaluru_Ward_9,ward,Bengaluru,19,12.981405,77.592233,777609,12.92,156,4.2
30,Bengaluru_Ward_10,ward,Bengaluru,19,12.976222,77.568775,864261,8.98,173,7.1
31,Hyderabad_Ward_1,ward,Hyderabad,40,17.385214,78.433501,724347,10.76,146,7.3
32,Hyderabad_Ward_2,ward,Hyderabad,40,17.402152,78.444282,720617,13.79,145,6.9
33,Hyderabad_Ward_3,ward,Hyderabad,40,17.395468,78.479071,766042,13.46,153,7.5
34,Hyderabad_Ward_4,ward,Hyderabad,40,17.368593,78.451624,665383,7.52,134,6.6
35,Hyderabad_Ward_5,ward,Hyderabad,40,17.375759,78.457964,636867,8.31,128,6.0
36,Hyderabad_Ward_6,ward,Hyderabad,40,17.369443,78.460689,702513,8.57,144,5.5
37,Hyderabad_Ward_7,ward,Hyderabad,40,17.40501,78.443789,668241,2.1,134,4.0
38,Hyderabad_Ward_8,ward,Hyderabad,40,17.368614,78.489586,675951,4.5,137,6.0
39,Hyderabad_Ward_9,ward,Hyderabad,40,17.391596,78.489387,606537,4.47,121,9.3
40,Hyderabad_Ward_10,ward,Hyderabad,40,17.379302,78.4938,697966,7.63,140,5.1
41,Ahmedabad_Ward_1,ward,Ahmedabad,09,22.985891,72.561266,733872,1.63,148,8.5
42,Ahmedabad_Ward_2,ward,Ahmedabad,09,23.049053,72.587475,573367,1.99,116,7.2
43,Ahmedabad_Ward_3,ward,Ahmedabad,09,23.038733,72.589792,515139,10.01,104,8.4
44,Ahmedabad_Ward_4,ward,Ahmedabad,09,23.022754,72.599036,653633,2.0,131,5.6
45,Ahmedabad_Ward_5,ward,Ahmedabad,09,23.014003,72.604262,658467,9.81,135,5.5
46,Ahmedabad_Ward_6,ward,Ahmedabad,09,23.036825,72.573067,522114,11.87,104,4.7
47,Ahmedabad_Ward_7,ward,Ahmedabad,09,23.056847,72.57848,609835,13.64,124,6.9
48,Ahmedabad_Ward_8,ward,Ahmedabad,09,23.021006,72.604349,618537,14.3,126,5.6
49,Ahmedabad_Ward_9,ward,Ahmedabad,09,22.989949,72.578335,712374,11.53,144,4.7
50,Ahmedabad_Ward_10,ward,Ahmedabad,09,23.011807,72.587094,502892,13.43,101,9.2
51,Chennai_Ward_1,ward,Chennai,25,13.100117,80.305628,447825,12.51,91,6.8
52,Chennai_Ward_2,ward,Chennai,25,13.058878,80.250321,434477,11.88,88,6.2
53,Chennai_Ward_3,ward,Chennai,25,13.081794,80.278379,436167,2.66,87,6.4
54,Chennai_Ward_4,ward,Chennai,25,13.113263,80.293887,491171,6.25,98,6.6
55,Chennai_Ward_5,ward,Chennai,25,13.080976,80.287624,471369,14.9,94,8.0
56,Chennai_Ward_6,ward,Chennai,25,13.097313,80.279557,574639,10.74,116,7.1
57,Chennai_Ward_7,ward,Chennai,25,13.105286,80.282137,570615,4.88,114,5.3
58,Chennai_Ward_8,ward,Chennai,25,13.045362,80.267955,432573,14.64,90,6.7
59,Chennai_Ward_9,ward,Chennai,25,13.099267,80.29788,502840,6.86,103,8.7
60,Chennai_Ward_10,ward,Chennai,25,13.086368,80.272826,481940,6.33,99,4.9
61,Kolkata_Ward_1,ward,Kolkata,28,22.530741,88.351052,463382,11.77,95,6.6
62,Kolkata_Ward_2,ward,Kolkata,28,22.541278,88.360192,468710,4.2,96,7.3
63,Kolkata_Ward_3,ward,Kolkata,28,22.569276,88.34807,534979,8.28,109,6.7
64,Kolkata_Ward_4,ward,Kolkata,28,22.557651,88.382471,493029,10.86,99,8.6
65,Kolkata_Ward_5,ward,Kolkata,28,22.583798,88.327865,408337,13.66,82,3.4
66,Kolkata_Ward_6,ward,Kolkata,28,22.592677,88.364522,538566,13.07,109,4.4
67,Kolkata_Ward_7,ward,Kolkata,28,22.562336,88.378968,450107,14.72,91,4.0
68,Kolkata_Ward_8,ward,Kolkata,28,22.536541,88.376433,480117,3.55,96,5.1
69,Kolkata_Ward_9,ward,Kolkata,28,22.561376,88.382143,417486,3.69,83,7.3
70,Kolkata_Ward_10,ward,Kolkata,28,22.552025,88.347183,458182,3.89,92,4.9
71,Surat_Ward_1,ward,Surat,09,21.235235,72.830935,426998,13.23,86,6.8
72,Surat_Ward_2,ward,Surat,09,21.212967,72.817823,425314,3.93,86,7.4
73,Surat_Ward_3,ward,Surat,09,21.165636,72.857567,534649,1.51,107,6.1
74,Surat_Ward_4,ward,Surat,09,21.207471,72.836455,600483,2.5,121,8.2
75,Surat_Ward_5,ward,Surat,09,21.17973,72.812139,450543,5.51,90,6.4
76,Surat_Ward_6,ward,Surat,09,21.180476,72.823214,469143,10.51,96,7.9
77,Surat_Ward_7,ward,Surat,09,21.243427,72.850521,438899,2.79,88,8.9
78,Surat_Ward_8,ward,Surat,09,21.223855,72.804037,371258,14.81,75,7.9
79,Surat_Ward_9,ward,Surat,09,21.182927,72.820487,431926,3.43,87,5.2
80,Surat_Ward_10,ward,Surat,09,21.145885,72.843923,477042,13.12,96,6.4
81,Pune_Ward_1,ward,Pune,16,18.529588,73.835799,315549,9.0,63,7.6
82,Pune_Ward_2,ward,Pune,16,18.506318,73.866762,288598,8.11,58,3.8
83,Pune_Ward_3,ward,Pune,16,18.524764,73.837264,332398,3.16,67,4.0
84,Pune_Ward_4,ward,Pune,16,18.516599,73.847201,293637,10.54,61,7.6
85,Pune_Ward_5,ward,Pune,16,18.484165,73.834697,317748,3.54,64,6.6
86,Pune_Ward_6,ward,Pune,16,18.529331,73.886953,308701,12.13,62,6.7
87,Pune_Ward_7,ward,Pune,16,18.5132,73.848969,329426,8.32,66,8.1
88,Pune_Ward_8,ward,Pune,16,18.514166,73.874302,304630,6.28,62,8.5
89,Pune_Ward_9,ward,Pune,16,18.519938,73.888879,322660,6.37,67,6.2
90,Pune_Ward_10,ward,Pune,16,18.489998,73.878225,323021,9.68,68,5.9
91,Jaipur_Ward_1,ward,Jaipur,24,26.897792,75.77147,350606,13.27,70,7.1
92,Jaipur_Ward_2,ward,Jaipur,24,26.945359,75.778917,291596,11.11,60,5.7
93,Jaipur_Ward_3,ward,Jaipur,24,26.886976,75.793429,272376,13.72,55,5.7
94,Jaipur_Ward_4,ward,Jaipur,24,26.932707,75.786698,313144,8.08,64,4.8
95,Jaipur_Ward_5,ward,Jaipur,24,26.955263,75.799615,311222,3.14,63,7.2
96,Jaipur_Ward_6,ward,Jaipur,24,26.951484,75.777586,274471,14.79,56,6.3
97,Jaipur_Ward_7,ward,Jaipur,24,26.970394,75.798289,286702,5.69,58,6.3
98,Jaipur_Ward_8,ward,Jaipur,24,26.899378,75.754713,329691,5.85,66,6.6
99,Jaipur_Ward_9,ward,Jaipur,24,26.912904,75.82119,296708,2.97,59,4.2
100,Jaipur_Ward_10,ward,Jaipur,24,26.865682,75.786724,297581,9.13,61,7.5
101,Kanpur_Ward_1,ward,Kanpur,36,26.444886,80.360083,259764,14.96,53,6.3
102,Kanpur_Ward_2,ward,Kanpur,36,26.465509,80.349267,287917,3.87,58,6.3
103,Kanpur_Ward_3,ward,Kanpur,36,26.464575,80.338882,262199,11.86,53,6.7
104,Kanpur_Ward_4,ward,Kanpur,36,26.423662,80.324937,249080,3.55,52,6.8
105,Kanpur_Ward_5,ward,Kanpur,36,26.481894,80.323219,272107,3.19,56,6.4
106,Kanpur_Ward_6,ward,Kanpur,36,26.451141,80.335184,285112,3.5,58,6.3
107,Kanpur_Ward_7,ward,Kanpur,36,26.460423,80.342254,302397,12.62,61,7.2
108,Kanpur_Ward_8,ward,Kanpur,36,26.452085,80.331003,235182,13.5,48,9.1
109,Kanpur_Ward_9,ward,Kanpur,36,26.451143,80.321581,238377,9.74,49,7.4
110,Kanpur_Ward_10,ward,Kanpur,36,26.430161,80.338852,309761,12.2,63,6.5
111,Navi Mumbai_Ward_1,ward,Navi Mumbai,16,19.042966,72.981617,224947,2.95,48,7.6
112,Navi Mumbai_Ward_2,ward,Navi Mumbai,16,19.004218,73.026857,312144,12.62,62,7.6
113,Navi Mumbai_Ward_3,ward,Navi Mumbai,16,19.069221,73.04723,233902,13.8,48,7.3
114,Navi Mumbai_Ward_4,ward,Navi Mumbai,16,19.024314,73.016342,273459,2.16,56,5.4
115,Navi Mumbai_Ward_5,ward,Navi Mumbai,16,19.00633,72.999851,294874,5.16,60,5.2
116,Navi Mumbai_Ward_6,ward,Navi Mumbai,16,19.046676,73.019517,237682,1.44,48,7.6
117,Navi Mumbai_Ward_7,ward,Navi Mumbai,16,19.025297,73.01826,326562,5.68,66,6.4
118,Navi Mumbai_Ward_8,ward,Navi Mumbai,16,19.040407,73.009123,311350,7.09,62,6.4
119,Navi Mumbai_Ward_9,ward,Navi Mumbai,16,19.046805,73.026472,231717,9.26,46,7.9
120,Navi Mumbai_Ward_10,ward,Navi Mumbai,16,19.010423,73.011295,287678,11.25,60,6.7
121,Lucknow_Ward_1,ward,Lucknow,36,26.830205,80.935789,209464,14.83,43,6.4
122,Lucknow_Ward_2,ward,Lucknow,36,26.847872,80.927284,253914,13.82,51,4.6
123,Lucknow_Ward_3,ward,Lucknow,36,26.817659,80.944193,246223,13.07,50,7.5
124,Lucknow_Ward_4,ward,Lucknow,36,26.811177,80.933151,221430,11.15,44,8.4
125,Lucknow_Ward_5,ward,Lucknow,36,26.847531,80.884536,231118,9.76,48,8.1
126,Lucknow_Ward_6,ward,Lucknow,36,26.853548,80.92407,277438,6.63,56,5.5
127,Lucknow_Ward_7,ward,Lucknow,36,26.83037,80.952198,286248,4.34,57,5.7
128,Lucknow_Ward_8,ward,Lucknow,36,26.812391,80.904757,222378,1.59,44,5.3
129,Lucknow_Ward_9,ward,Lucknow,36,26.838586,80.927814,285529,4.06,59,5.0
130,Lucknow_Ward_10,ward,Lucknow,36,26.858966,80.91885,245978,9.59,49,7.5
131,Nagpur_Ward_1,ward,Nagpur,16,21.149639,79.094759,247522,4.23,50,9.5
132,Nagpur_Ward_2,ward,Nagpur,16,21.133847,79.0738,225233,1.81,49,8.3
133,Nagpur_Ward_3,ward,Nagpur,16,21.17472,79.073495,220542,12.42,44,7.2
134,Nagpur_Ward_4,ward,Nagpur,16,21.150368,79.054595,277794,2.28,57,9.2
135,Nagpur_Ward_5,ward,Nagpur,16,21.15718,79.106582,220104,6.72,45,6.7
136,Nagpur_Ward_6,ward,Nagpur,16,21.145647,79.120801,228114,12.92,47,6.8
137,Nagpur_Ward_7,ward,Nagpur,16,21.170423,79.091773,272414,8.92,54,4.8
138,Nagpur_Ward_8,ward,Nagpur,16,21.15111,79.091021,263011,13.14,56,7.1
139,Nagpur_Ward_9,ward,Nagpur,16,21.173953,79.097884,236546,5.69,48,6.7
140,Nagpur_Ward_10,ward,Nagpur,16,21.154675,79.092918,235136,5.02,50,6.5
141,Coimbatore_Ward_1,ward,Coimbatore,25,11.01846,77.009385,207114,11.65,43,6.8
142,Coimbatore_Ward_2,ward,Coimbatore,25,11.017708,76.969852,204151,5.21,42,6.8
143,Coimbatore_Ward_3,ward,Coimbatore,25,10.969351,76.98542,203431,13.2,44,6.7
144,Coimbatore_Ward_4,ward,Coimbatore,25,11.03686,76.964805,201827,4.83,42,9.3
145,Coimbatore_Ward_5,ward,Coimbatore,25,11.01435,76.956079,191868,2.15,40,7.6
146,Coimbatore_Ward_6,ward,Coimbatore,25,11.018554,76.964136,253152,6.57,51,4.9
147,Coimbatore_Ward_7,ward,Coimbatore,25,11.004638,76.970987,208536,3.98,42,7.0
148,Coimbatore_Ward_8,ward,Coimbatore,25,10.980519,76.994995,211936,14.55,42,8.2
149,Coimbatore_Ward_9,ward,Coimbatore,25,11.012405,76.975255,225867,11.65,46,7.2
150,Coimbatore_Ward_10,ward,Coimbatore,25,11.030534,76.975948,191666,2.75,39,6.4
151,Indore_Ward_1,ward,Indore,35,22.717117,75.804684,201994,4.77,41,5.5
152,Indore_Ward_2,ward,Indore,35,22.712382,75.832792,195988,7.72,40,5.5
