cluster,region_count,total_population,total_cases,avg_cases,outbreak_count,outbreak_rate,centroid_lat,centroid_lng,risk_level
0,193,37678656,580251,10.374657451379095,3856,0.0787200898985667,19.171955777202072,74.42666107253886,Medium
1,327,39701394,627573,7.31365451828851,5778,0.0801824333178576,28.763245363914372,77.17688850152906,Medium
2,14,8411919,109571,24.97102206458817,331,0.0811718383702956,13.0791235,77.45442192857142,Medium
3,36,7687536,125335,11.941093151259235,579,0.08084991379311633,17.405406083333332,78.47745005555555,Medium
4,30,7703429,119398,13.463908199871403,576,0.08225567213962455,22.936444233333336,72.77072223333333,Medium
5,47,6960341,113622,8.894326328282187,786,0.0787126506289077,13.351612361702129,79.73395574468084,Medium
6,137,14273565,222280,6.45470385761486,2362,0.08047578841959543,22.9721929270073,87.6202359270073,Medium
7,17,5435966,80048,15.434293127942105,372,0.0807471301670206,21.12796111764706,72.764739,Medium
8,15,5096774,76193,16.35822069699711,388,0.0838247359905235,26.68876433333333,80.69155746666667,Medium
9,6,2622648,42076,22.047280528660924,148,0.07758905729459713,21.149233499999998,79.07790016666667,Medium
10,123,13584355,215323,6.785388668004876,2318,0.08050597312073342,10.877250276422764,77.68376117886179,Medium
11,45,3370808,50709,5.176710150777638,620,0.07920377926992352,22.89389408888889,75.79239864444445,Medium
12,10,1781115,28087,9.477731270113424,244,0.08282481142629805,23.2631352,77.4074713,Medium
13,19,2793941,46117,8.69412384749629,430,0.08161646774903228,17.710873421052632,83.25965457894738,Medium
14,34,3237552,48479,5.826629698723262,618,0.08084237031151521,25.471279029411765,85.29224294117647,Medium
15,30,2969633,46883,6.21935917576424,563,0.08365852819689404,8.752790166666667,77.3189334,Medium
16,27,2258240,35827,5.687235313281967,422,0.08081232582772108,22.00972348148148,70.40391511111112,Medium
17,6,1050120,17069,9.698237621431469,161,0.09127595521592097,19.2293975,82.55149233333333,Medium
18,9,1144653,14935,6.030808596144031,158,0.06394576573972321,34.091280000000005,74.80482033333334,Medium
19,10,1179168,19674,7.245336298907842,227,0.0837896313741443,25.3172491,83.00689059999999,Medium
20,16,1832302,26723,6.33158532898932,283,0.07179900992099651,16.3867383125,80.52116893750001,Medium
21,10,1048151,17119,6.531790016744802,214,0.08193653470238976,23.1677132,79.9495682,Medium
22,6,1028163,16194,9.422009053973083,139,0.08065212505789661,25.438099333333337,81.83945383333334,Medium
23,6,1114140,19208,11.018104489642111,143,0.08203249266363095,26.279543,73.00412899999999,Medium
24,32,2745746,40120,5.247834417867298,549,0.07505617763381503,21.65364975,81.9329691875,Medium
25,7,1044129,16843,8.554766400520066,165,0.08360535270104216,25.182302999999997,75.84253971428572,Medium
26,40,2812834,42427,4.835250827062286,661,0.08038359881407339,16.33270955,74.541942675,Medium
27,13,1484510,23000,6.7250240676713995,275,0.08508815847514055,20.313817153846152,85.83992215384615,Medium
28,32,1685591,26267,4.18765107934424,419,0.0759452085517138,18.32937084375,79.51746184375,Medium
29,9,944354,13896,5.9652959682678635,189,0.08260284692660597,26.749009444444443,83.60296344444444,Medium
30,16,1050582,16961,4.955487357930571,247,0.07584037915743785,20.8114285625,77.3294400625,Medium
31,11,610334,9719,4.399198229048469,165,0.07490666422844722,28.012397818181817,73.32017836363637,Medium
32,7,547384,8204,5.218775521922576,124,0.07850363669823732,32.729127999999996,74.85633742857144,Medium
33,9,525558,8781,4.767179298045696,149,0.081705488957558,26.439687333333335,74.6403378888889,Medium
34,11,493130,7296,3.713271430401522,154,0.07854661389495246,26.71243790909091,88.43426881818182,Medium
35,12,493721,7477,3.7080967061020176,156,0.07796108985794896,12.912319583333334,74.8553655,Medium
36,5,437281,6769,5.734834823064757,103,0.0880489070857409,24.5849764,73.7139228,Medium
37,20,733484,10412,3.35671505969162,235,0.07741446951468417,14.180334250000001,75.7336183,Medium
38,23,672352,10035,3.229895234311256,248,0.08119696188505195,14.897258086956521,77.28309104347827,Medium
39,7,773639,10869,6.154413457721806,130,0.07477907177987012,25.553166428571426,87.25388099999999,Medium
40,15,707076,11351,4.159351803995284,221,0.08302960195165315,16.974173066666665,82.11530786666667,Medium
41,7,346782,5001,3.9621826557229407,102,0.08109470913081755,25.34918814285714,74.6451677142857,Medium
42,11,336026,4633,3.023797081622423,108,0.07132932946055273,19.30341918181818,84.79306154545453,Medium
43,11,349497,5073,3.2401229098297137,126,0.08066638454256746,14.481962272727271,78.82623445454546,Medium
44,8,309850,4876,3.6520763469979043,94,0.07342559404966781,19.947608125,79.2907105,Medium
45,11,267939,3864,2.8133681529508525,91,0.06770409399171812,23.73487490909091,92.72409045454545,Medium
46,10,272574,4216,3.1952997639070304,113,0.08646434352217834,24.5726442,80.8323601,Medium
47,6,266534,4071,3.8541842113700895,79,0.0761153456657137,24.801976166666666,93.95026883333334,Medium
48,6,286064,4229,3.909881807499385,75,0.0699703974692805,23.826014666666666,78.73303416666666,Medium
49,8,258622,3896,3.377925974471571,95,0.08319406536262947,22.229224875,84.86907612499999,Medium
