region_id,region_name,city,state,latitude,longitude,population,cluster,total_cases,avg_cases,outbreak_count,outbreak_rate
1,Mumbai_Ward_1,Mumbai,Tripura,19.080281,72.880536,1204874,0,19196,56.29325513196481,31,0.09090909090909091
2,Mumbai_Ward_2,Mumbai,Tripura,19.069318,72.886796,1189694,0,18167,54.22985074626866,21,0.0626865671641791
3,Mumbai_Ward_3,Mumbai,Tripura,19.065788,72.890748,855741,0,10365,30.940298507462686,25,0.07462686567164178
4,Mumbai_Ward_4,Mumbai,Tripura,19.044131,72.894857,828878,0,12121,36.50903614457831,31,0.09337349397590361
5,Mumbai_Ward_5,Mumbai,Tripura,19.094815,72.879223,867068,0,14034,43.18153846153846,28,0.08615384615384615
6,Mumbai_Ward_6,Mumbai,Tripura,19.074494,72.873606,802339,0,12211,39.77524429967427,25,0.08143322475570032
7,Mumbai_Ward_7,Mumbai,Tripura,19.072628,72.866744,762179,0,14253,40.14929577464789,30,0.08450704225352113
8,Mumbai_Ward_8,Mumbai,Tripura,19.054517,72.924285,857664,0,14327,44.63239875389408,28,0.08722741433021806
9,Mumbai_Ward_9,Mumbai,Tripura,19.083907,72.885181,796513,0,11932,37.05590062111801,26,0.08074534161490683
10,Mumbai_Ward_10,Mumbai,Tripura,19.068313,72.894216,966749,0,18516,54.94362017804154,31,0.09198813056379822
11,Mumbai_Ward_11,Mumbai,Tripura,19.077691,72.876834,787666,0,12650,37.76119402985075,21,0.0626865671641791
12,Mumbai_Ward_12,Mumbai,Tripura,19.082005,72.891342,1202979,0,16961,51.08734939759036,27,0.08132530120481928
13,Delhi_Ward_1,Delhi,Delhi,28.639362,77.226852,1343855,1,21839,66.37993920972644,23,0.06990881458966565
14,Delhi_Ward_2,Delhi,Delhi,28.649165,77.249186,1194528,1,23432,72.54489164086688,32,0.09907120743034056
15,Delhi_Ward_3,Delhi,Delhi,28.657375,77.221813,1276113,1,23667,71.07207207207207,29,0.08708708708708708
16,Delhi_Ward_4,Delhi,Delhi,28.67542,77.22551,843850,1,15720,48.07339449541284,33,0.10091743119266056
17,Delhi_Ward_5,Delhi,Delhi,28.653326,77.201676,1373293,1,18768,55.69139465875371,26,0.0771513353115727
18,Delhi_Ward_6,Delhi,Delhi,28.644176,77.228308,879158,1,13123,39.646525679758305,25,0.0755287009063444
19,Delhi_Ward_7,Delhi,Delhi,28.665681,77.236421,1304508,1,26756,79.86865671641792,32,0.0955223880597015
20,Delhi_Ward_8,Delhi,Delhi,28.66648,77.226851,845280,1,14268,42.975903614457835,25,0.07530120481927711
21,Delhi_Ward_9,Delhi,Delhi,28.656392,77.235406,777021,1,11059,35.21974522292994,23,0.0732484076433121
22,Delhi_Ward_10,Delhi,Delhi,28.64564,77.238284,986402,1,16422,50.06707317073171,31,0.09451219512195122
23,Bengaluru_Ward_1,Bengaluru,Karnataka,12.975803,77.592573,1085271,2,11542,36.06875,18,0.05625
24,Bengaluru_Ward_2,Bengaluru,Karnataka,12.971542,77.595225,850914,2,12939,41.87378640776699,33,0.10679611650485436
25,Bengaluru_Ward_3,Bengaluru,Karnataka,12.969055,77.598213,668541,2,9833,32.02931596091205,24,0.0781758957654723
26,Bengaluru_Ward_4,Bengaluru,Karnataka,12.983219,77.581663,916989,2,10546,35.03654485049834,26,0.08637873754152824
27,Bengaluru_Ward_5,Bengaluru,Karnataka,12.957082,77.585196,615468,2,7621,24.117088607594937,24,0.0759493670886076
28,Bengaluru_Ward_6,Bengaluru,Karnataka,12.972968,77.601735,791814,2,11551,35.43251533742331,29,0.08895705521472393
29,Bengaluru_Ward_7,Bengaluru,Karnataka,12.960191,77.588859,1066027,2,13963,43.22910216718266,30,0.09287925696594428
30,Bengaluru_Ward_8,Bengaluru,Karnataka,12.953477,77.614148,717963,2,9734,29.858895705521473,26,0.07975460122699386
31,Bengaluru_Ward_9,Bengaluru,Karnataka,12.975838,77.605417,767497,2,8808,27.269349845201237,21,0.06501547987616099
