horizon,mape,rmse,mae
9 days,0.026017750140328526,225.4265707198554,174.1062762294289
10 days,0.026675550361190566,225.63777019605934,178.10059060310678
11 days,0.02670371717599926,244.8439072764378,179.08074609873358
12 days,0.02744283281575356,251.08446750855816,185.18844821618245
13 days,0.027897019719933074,246.2165115077034,187.57576466850713
14 days,0.0266758697898915,243.5851268404359,179.69384785197454
15 days,0.025195297639368293,234.5032826230997,169.35554730296343
16 days,0.025106944109178398,232.19589228054437,168.74968503901255
17 days,0.024620588734839372,228.03810858416662,165.60946979505516
18 days,0.025545914471128778,236.3871723476593,171.35759093489014
19 days,0.025364105108125434,235.60281657953283,170.5178455036622
20 days,0.02532561676717088,216.90732479591765,168.60982460332664
21 days,0.024701907704391037,209.07814535308603,163.92728476946962
22 days,0.0238430505721778,198.92420331321625,157.58542225612447
23 days,0.026063450732119364,211.91350140907184,172.30758663113187
24 days,0.026499213009812003,216.86056840023605,174.99554308913994
25 days,0.025629653766649378,210.66588954398065,168.99715810891175
26 days,0.024767519128840176,202.7700095337091,163.5236094079928
27 days,0.024881618258400157,200.50657643514856,164.29006714232642
28 days,0.025406561215655894,210.64729750410987,166.7550288718162
29 days,0.02615484475423291,219.72733710516405,173.13008226437756
30 days,0.026425834423735563,227.26722151179285,175.26068930090582
31 days,0.027324149817025155,235.81447575046258,180.57936978988292
32 days,0.02639002030256114,229.0174294649871,174.50561493443186
33 days,0.02745188400673999,232.8384082524309,181.28275407957938
34 days,0.028729059304988553,248.28554467443428,190.86232664362103
35 days,0.02967022826893763,252.37691417138169,197.39808868612138
36 days,0.028373235932822677,246.6850913708854,189.16230426597716
37 days,0.026950670581468668,236.13193536278447,181.01057132195146
38 days,0.02717876316642555,234.60994477704915,181.13451584593204
39 days,0.025709632673583255,222.12686634737437,171.32401528541044
40 days,0.025110009655596247,214.65202217883976,167.37397292776208
41 days,0.025432311453288912,235.18721080699325,170.39798599975148
42 days,0.026194784234871944,241.3556997274697,176.49198644727622
43 days,0.026352062112474213,236.51335307960682,176.8989078983726
44 days,0.024743753272448453,230.5529978191621,166.21824307949333
45 days,0.023834774318390258,224.89184808806965,159.80606955681893
46 days,0.023897470416745146,224.75836742108862,160.53032218278602
47 days,0.023294834313484714,221.63419437257562,156.50361101241535
48 days,0.02417004124559894,229.9561152266025,161.95390467440257
49 days,0.02505061335895135,237.36010865018724,168.45670001396167
50 days,0.024286361104017006,216.05038592231395,161.6330344219832
51 days,0.02376294877685268,207.91066306019408,157.50852009444372
52 days,0.022764860851209975,197.122340143782,150.35273956237506
53 days,0.025538216745786258,217.0466598836765,168.8582975139937
54 days,0.02624184317112256,223.03578495471055,173.36786987399407
55 days,0.02574802221264128,218.24816243005617,169.82823180830505
56 days,0.02513768061554097,210.80277214610433,166.06536615420657
57 days,0.025614056314097713,209.50931266516685,169.22111959205148
58 days,0.02488522388808978,206.37164746712745,163.7935547952529
59 days,0.026414461217922836,218.40775957232512,175.17514753172128
60 days,0.026809134387678128,226.70060436265277,178.17985022725992
61 days,0.028241161164939153,238.41024378862951,186.85051352108303
62 days,0.026895477832441596,227.63438965963272,177.9456302579435
63 days,0.028139705788368694,232.698933700501,185.8868262029747
64 days,0.028480736568720355,241.91578133994133,188.91423517711507
65 days,0.029049922765103927,244.2306458949716,193.03746869805315
66 days,0.027811357597771383,240.36984999895253,185.32735152944107
67 days,0.02719091975812333,235.20137146123622,181.69652128399125
68 days,0.026964454885553053,231.6610659774909,179.0235852111695
69 days,0.025521278855058987,219.25002715617674,169.32543945700394
70 days,0.02443866355636826,208.93952979510638,162.1182976904941
71 days,0.02502651230031833,229.37513845792833,167.09397778328903
72 days,0.0259338552175513,239.0290446807385,174.5117362840509
73 days,0.026375293821398922,235.2442058534519,176.85378308377275
74 days,0.025308836167206927,230.94726927334966,169.7318531285859
75 days,0.024659217391869177,224.8503371998039,164.9628301996515
76 days,0.024544776957622104,224.67950747391671,164.5956601915444
77 days,0.02354334882035035,216.62337527755656,158.33970242999163
78 days,0.024178849894747032,224.3320066817611,162.27631481962192
79 days,0.02563602981875954,237.7213754144376,173.08793556353638
80 days,0.024397021060834825,215.54380981270253,163.00014295918788
81 days,0.02320094646812283,200.14532832228923,153.94708717092456
82 days,0.023508980198030167,200.19567077214762,155.46584355938117
83 days,0.02525846177603163,211.9564176511776,167.79668244257587
84 days,0.025373570621515386,215.64057387285413,168.38127038421067
85 days,0.02508062531631879,211.38005095552225,166.2369148680736
86 days,0.02462341845304348,208.8955301621472,163.36708509225681
87 days,0.02558877210916245,209.39920391333254,169.68051824623893
88 days,0.024813738317391858,202.15460033359324,163.65846067375077
89 days,0.026673139394003943,217.49065545735098,177.29106901790448
90 days,0.027102841189851828,225.34900595128858,180.85772200010706
