ds,yhat,yhat_lower,yhat_upper
2023-01-01,6630.201833718548,6370.71050128142,6903.056980633861
2023-01-02,6657.64095124594,6411.84731845972,6917.752787069806
2023-01-03,6618.544781772954,6358.508638131892,6887.785277498148
2023-01-04,6588.90904882361,6325.6841472432425,6869.447353924547
2023-01-05,6640.735325505024,6378.631637269999,6893.773421857829
2023-01-06,6595.7212968088925,6318.184416445201,6846.011553599614
2023-01-07,6616.3527809073485,6352.021152137602,6882.72088191247
2023-01-08,6621.6122842452205,6355.346011168843,6871.3663062891255
2023-01-09,6651.798378418148,6389.385953385681,6906.449300417612
2023-01-10,6615.395354778986,6342.966931702891,6874.791842605359
2023-01-11,6585.2111138586,6321.408851323912,6846.407504156928
2023-01-12,6644.636788019284,6382.375572336676,6904.2765350679865
2023-01-13,6605.33460322437,6313.166236209621,6863.900876742759
2023-01-14,6626.941886698844,6361.034593616193,6886.44104932211
2023-01-15,6637.171758081819,6369.689600425918,6890.982426254551
2023-01-16,6674.346958236495,6407.18293879182,6937.1516447214
2023-01-17,6642.177927974717,6403.147061087219,6904.647799835989
2023-01-18,6619.302557446771,6359.7595672605285,6865.603714769914
2023-01-19,6678.506108576237,6407.28058762926,6959.000931721734
2023-01-20,6644.783629906813,6386.46545732134,6910.897656055991
2023-01-21,6669.489190630055,6406.652514461188,6946.743410566226
2023-01-22,6684.638599459749,6442.060440861056,6951.681318632671
2023-01-23,6725.501149215963,6461.9358475050185,6983.357664704577
2023-01-24,6691.785915987467,6429.604962173888,6968.892288791414
2023-01-25,6667.202038654891,6399.04923284298,6942.018120946369
2023-01-26,6733.485471253918,6480.556789577129,7011.295971419563
2023-01-27,6701.237888333911,6450.003467306323,6942.916284561775
2023-01-28,6720.763617582574,6461.04695027766,6970.298889663075
2023-01-29,6732.962039056585,6476.253662050964,7010.325553182043
2023-01-30,6769.885011533236,6511.444940298184,7043.884989068862
2023-01-31,6736.738733211732,6480.1288981920725,7011.129576613501
2023-02-01,6694.237628502274,6446.210245798125,6971.553576327494
2023-02-02,6753.120541361332,6460.588385193207,7016.0224524135365
2023-02-03,6712.896699529274,6462.55812860248,6976.935762952464
2023-02-04,6726.281919371435,6450.640142366161,6992.444037300887
2023-02-05,6731.787981272084,6464.617048936761,7011.586835127128
2023-02-06,6760.549989937218,6504.896421569728,7010.843639759909
2023-02-07,6721.900908589344,6475.759917634429,6998.4857570084
2023-02-08,6686.165438797659,6405.854253246452,6936.21698440467
2023-02-09,6740.066368600059,6490.8652836586525,7021.137837486604
2023-02-10,6689.030053780506,6409.72132341942,6948.238482717884
2023-02-11,6701.834141189855,6445.145769365604,6969.437235827816
2023-02-12,6705.470507641064,6432.1247211948885,6958.403250790246
2023-02-13,6728.339239757444,6473.709687963461,6968.038743099001
2023-02-14,6683.565030401277,6420.798895068258,6941.255278103146
2023-02-15,6644.597764312788,6404.777756532002,6906.940024447154
2023-02-16,6695.256791149739,6455.6230184963815,6984.788491626594
2023-02-17,6642.273900415164,6359.353993988542,6919.1820094377335
2023-02-18,6658.194086920224,6396.71320771169,6942.8431305791855
2023-02-19,6661.400478346271,6427.262827139945,6919.4017189983415
2023-02-20,6687.253935972196,6426.474659950705,6942.812774267503
2023-02-21,6644.361247824334,6385.06332565331,6886.7159394181945
2023-02-22,6610.631662965911,6343.13690782758,6894.01874448244
2023-02-23,6665.039212312378,6397.6231750508405,6904.821081335161
2023-02-24,6619.324831060197,6352.860288334387,6884.522331769764
2023-02-25,6638.039114799088,6373.880386227997,6895.385309643797
2023-02-26,6644.2317772619635,6381.011748533716,6912.206495249713
2023-02-27,6672.772404163921,6406.784999618965,6942.8558753764855
2023-02-28,6639.134604218928,6377.125683769126,6899.355487427156
2023-03-01,6555.442097474768,6290.342267096603,6822.509805290326
2023-03-02,6619.437817050562,6350.034932219034,6883.007653349235
2023-03-03,6571.905728028137,6315.24736343083,6846.1294159244935
2023-03-04,6594.393921639101,6341.072300049996,6861.829091336268
2023-03-05,6605.845374512719,6344.436542399949,6887.242413222875
2023-03-06,6640.788393618653,6389.6275052943665,6898.7494893639405
